"participant_id","complex","simple","ambiguous","unambiguous","nfc","ospan","asq","stroop","crt","iq","nfc_rescaled","ospan_rescaled","asq_rescaled","stroop_rescaled","iq_rescaled","crt_rescaled","study"
29,0.583333333333333,1,0.333333333333333,1,2.16666666666667,0.891666666666667,23,0.572388895804805,0.666666666666667,8,0.291666666666668,0.827242524916944,0.484848484848485,0.572388895804805,0.875,0.666666666666667,"pilot"
30,0.416666666666667,1,0.444444444444444,1,4,1,26,0.731417572468896,0.166666666666667,8,0.75,1,0.575757575757576,0.731417572468896,0.875,0.166666666666667,"pilot"
31,0.583333333333333,1,0.333333333333333,1,4.33333333333333,1,31,0.702631296094823,0.833333333333333,5,0.833333333333333,1,0.727272727272727,0.702631296094823,0.5,0.833333333333333,"pilot"
32,0.833333333333333,1,0.333333333333333,1,3,1,36,0.699390874710783,0.666666666666667,9,0.5,1,0.878787878787879,0.699390874710783,1,0.666666666666667,"pilot"
33,0.5,1,0.333333333333333,1,1,0.880208333333333,21,1,0.333333333333333,4,0,0.808970099667774,0.424242424242424,1,0.375,0.333333333333333,"pilot"
34,0.5,0.416666666666667,0.666666666666667,0.96969696969697,3.83333333333333,1,18,0.302532226977511,0.5,8,0.708333333333332,1,0.333333333333333,0.302532226977511,0.875,0.5,"pilot"
35,0.416666666666667,0.916666666666667,0.666666666666667,1,2.83333333333333,0.984375,26,0.508098061015552,0.5,9,0.458333333333332,0.975083056478405,0.575757575757576,0.508098061015552,1,0.5,"pilot"
36,0.416666666666667,0.666666666666667,0.555555555555556,1,3.66666666666667,0.85,17,0.781762299480162,0.666666666666667,4,0.666666666666668,0.760797342192691,0.303030303030303,0.781762299480162,0.375,0.666666666666667,"pilot"
37,0.5,0.666666666666667,0.333333333333333,0.96969696969697,4,0.921875,18,0.670677421154977,0.333333333333333,4,0.75,0.875415282392026,0.333333333333333,0.670677421154977,0.375,0.333333333333333,"pilot"
38,0.666666666666667,0.833333333333333,0.333333333333333,1,2.5,0.9625,10,0.367979362805379,0.6,7,0.375,0.940199335548173,0.090909090909091,0.367979362805379,0.75,0.6,"pilot"
39,0.333333333333333,0.666666666666667,0.333333333333333,1,1.33333333333333,0.757291666666667,27,0.355640740565856,0.166666666666667,6,0.083333333333333,0.61295681063123,0.606060606060606,0.355640740565856,0.625,0.166666666666667,"pilot"
40,0.5,0.916666666666667,0.555555555555556,1,2,0.91875,26,0.931644037311607,0.166666666666667,2,0.25,0.870431893687707,0.575757575757576,0.931644037311607,0.125,0.166666666666667,"pilot"
41,0.5,0.75,0.555555555555556,1,3.33333333333333,0.975,40,0,1,7,0.583333333333332,0.960132890365448,1,0,0.75,1,"pilot"
42,0.583333333333333,1,0.444444444444444,1,4.66666666666667,0.9875,17,0.208540631962122,0.6,8,0.916666666666667,0.980066445182724,0.303030303030303,0.208540631962122,0.875,0.6,"pilot"
